wcr_number,mean_ci_upper,pump_loc,mean_ci_lower,tot_completed_depth,gwl_2019,gsp_name,x,y
WCR1991-001176,145.09337955229955,143.08166909572526,141.06995863915097,223,115.34835170264701,Eastern San Joaquin,-120.89958999999996,38.11205
WCR1991-001177,143.0276534232801,141.01605815941736,139.0044628955546,220,115.34835170264701,Eastern San Joaquin,-120.91758000000002,38.08302999999999
WCR1991-002267,272.11057007501967,270.092926919426,268.0752837638324,403,68.1271113739742,Eastern San Joaquin,-120.88126000000001,38.19965999999998
WCR1991-002413,141.6516527779441,139.64013460942954,137.62861644091498,218,97.43493383494507,Eastern San Joaquin,-120.91767,38.14113999999999
WCR1991-002416,163.77414514772627,161.76142293769595,159.74870072766564,250,97.43493383494507,Eastern San Joaquin,-120.91767,38.14113999999999
WCR1991-002458,198.75245286162365,196.73797696571287,194.7235010698021,300,97.43493383494507,Eastern San Joaquin,-120.91767,38.14113999999999
WCR1991-003881,234.1645781831667,232.14849570978063,230.13241323639457,350,115.34835170264701,Eastern San Joaquin,-120.89958999999996,38.11205
WCR1991-003968,695.5766786402894,693.5477324589591,691.5187862776288,970,68.1271113739742,Eastern San Joaquin,-120.88129999999998,38.18498000000001
WCR1991-004240,227.05048208310922,225.0347099155808,223.0189377480524,340,95.52748593940628,Eastern San Joaquin,-120.93617,38.15568999999999
WCR1991-004261,241.29365698920134,239.27726943567572,237.2608818821501,360,113.67071197923724,Eastern San Joaquin,-120.93587,38.141029999999994
WCR1991-006062,198.75245286162365,196.73797696571287,194.7235010698021,300,95.52748593940628,Eastern San Joaquin,-120.95475000000002,38.15555999999999
WCR1991-006236,198.75245286162365,196.73797696571287,194.7235010698021,300,81.50024538071347,Eastern San Joaquin,-120.91781,38.15579999999999
WCR1991-006239,212.86889335131292,210.85375803367447,208.838622716036,320,79.85184633540756,Eastern San Joaquin,-120.93643000000002,38.19924999999999
WCR1991-006363,198.75245286162365,196.73797696571287,194.7235010698021,300,97.43493383494507,Eastern San Joaquin,-120.88129999999998,38.12655000000001
WCR1991-006375,143.0276534232801,141.01605815941736,139.0044628955546,220,81.50024538071347,Eastern San Joaquin,-120.91781,38.15579999999999
WCR1991-006385,198.75245286162365,196.73797696571287,194.7235010698021,300,79.85184633540756,Eastern San Joaquin,-120.93643000000002,38.19924999999999
WCR1991-006386,269.952371614091,267.9348132319552,265.9172548498194,400,79.85184633540756,Eastern San Joaquin,-120.93643000000002,38.19924999999999
WCR1991-006416,272.11057007501967,270.092926919426,268.0752837638324,403,79.85184633540756,Eastern San Joaquin,-120.93643000000002,38.19924999999999
WCR1991-006419,198.75245286162365,196.73797696571287,194.7235010698021,300,79.85184633540756,Eastern San Joaquin,-120.93643000000002,38.19924999999999
WCR1991-006420,198.75245286162365,196.73797696571287,194.7235010698021,300,79.85184633540756,Eastern San Joaquin,-120.93589999999998,38.18485999999999
WCR1991-006679,212.86889335131292,210.85375803367447,208.838622716036,320,97.43493383494507,Eastern San Joaquin,-120.89967,38.12660000000001
WCR1991-008177,143.0276534232801,141.01605815941736,139.0044628955546,220,97.43493383494507,Eastern San Joaquin,-120.89967,38.12660000000001
WCR1991-008178,181.20469157931586,179.19107327276515,177.17745496621444,275,97.43493383494507,Eastern San Joaquin,-120.9177,38.12660000000001
WCR1991-009036,181.20469157931586,179.19107327276515,177.17745496621444,275,115.34835170264701,Eastern San Joaquin,-120.91772,38.11203999999999
WCR1991-010143,227.05048208310922,225.0347099155808,223.0189377480524,340,113.67071197923724,Eastern San Joaquin,-120.93587,38.141029999999994
WCR1991-010144,198.75245286162365,196.73797696571287,194.7235010698021,300,97.43493383494507,Eastern San Joaquin,-120.89967,38.12660000000001
WCR1991-010429,163.77414514772627,161.76142293769595,159.74870072766564,250,97.43493383494507,Eastern San Joaquin,-120.88129999999998,38.12655000000001
WCR1991-010604,427.2332065163699,425.21042837198326,423.18765022759663,615,68.1271113739742,Eastern San Joaquin,-120.89930999999999,38.19937000000001
WCR1991-010666,188.21027430352478,186.19630841726647,184.18234253100815,285,97.43493383494507,Eastern San Joaquin,-120.91767,38.14113999999999
WCR1991-010672,167.25038543199878,165.23748087013104,163.2245763082633,255,88.42613985083734,Eastern San Joaquin,-120.86306,38.141509999999975
WCR1991-010674,184.70518018834804,182.6913873259737,180.67759446359935,280,97.43493383494507,Eastern San Joaquin,-120.91767,38.14113999999999
WCR1991-010675,146.47166923784337,144.4598822888055,142.4480953397676,225,97.43493383494507,Eastern San Joaquin,-120.9177,38.12660000000001
WCR1991-010676,174.21784380642643,172.2045792508889,170.1913146953514,265,97.43493383494507,Eastern San Joaquin,-120.9177,38.12660000000001
WCR1991-010686,153.37650778330485,151.3643420547983,149.35217632629175,235,115.34835170264701,Eastern San Joaquin,-120.91772,38.11203999999999
WCR1991-010763,143.0276534232801,141.01605815941736,139.0044628955546,220,88.42613985083734,Eastern San Joaquin,-120.86306,38.141509999999975
WCR1991-010823,430.946035437493,428.9231529384385,426.900270439384,620,115.34835170264701,Eastern San Joaquin,-120.88063000000001,38.08309
WCR1991-010842,255.59523875797163,253.57825616431109,251.56127357065054,380,72.53503674471494,Eastern San Joaquin,-120.86303999999997,38.17087999999998
WCR1991-011537,177.70888601648676,175.69544380894305,173.68200160139935,270,115.34835170264701,Eastern San Joaquin,-120.89958999999996,38.11205
WCR1991-011611,486.89438709135544,484.87001137679727,482.8456356622391,695,133.544380639017,Eastern San Joaquin,-120.86208000000002,38.06849
WCR1991-011689,212.86889335131292,210.85375803367447,208.838622716036,320,81.50024538071347,Eastern San Joaquin,-120.88187,38.15606999999999
WCR1991-011690,181.20469157931586,179.19107327276515,177.17745496621444,275,81.50024538071347,Eastern San Joaquin,-120.90006,38.15589999999998
WCR1991-011691,125.89652726233115,123.88591212865272,121.87529699497429,195,115.34835170264701,Eastern San Joaquin,-120.91772,38.11203999999999
WCR1991-011696,181.20469157931586,179.19107327276515,177.17745496621444,275,115.34835170264701,Eastern San Joaquin,-120.91772,38.11203999999999
WCR1991-011741,282.9191501209743,280.9010891195011,278.8830281180279,418,95.52748593940628,Eastern San Joaquin,-120.93617,38.15568999999999
WCR1991-011858,198.75245286162365,196.73797696571287,194.7235010698021,300,61.631586829720405,Eastern San Joaquin,-120.8441,38.18556000000001
WCR1992-002038,234.1645781831667,232.14849570978063,230.13241323639457,350,68.1271113739742,Eastern San Joaquin,-120.9177,38.185019999999994
WCR1992-002039,237.7272693655689,235.71103370765493,233.69479804974097,355,68.1271113739742,Eastern San Joaquin,-120.9177,38.185019999999994
